Year,Title,Authors,Link
1982,A Computer-Assisted Instruction Approach to Music for Junior-Age Children: Using ALF for Teaching Music Composition,"Upitis, Rena",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.040/1
1982,Design Considerations for Computer-Assisted Music Instruction,"Clements, Peter J.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.041/1
1982,Construction and Harmonization of Microtonal Scales in Non-12-Tone Equal Temperaments,"Chalmers, Jr., John H.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.042/1
1982,Did Beethoven use the Enneadecaphonic Algorithm?,"Gagliardo, E.; Ghislandi, M.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.043/1
1982,A Program of Tomographic Analysis of Musical Texts,"Grossi, P.; Bertini, G.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.044/1
1982,The Automatic Transcription of German Lute Tabulatures: Researches Concerning Algorithms Polyphonic Structures,"Charnasse, Hélène",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.045/1
1982,A Microprocessor Based Keyboard Instrument for Microtonal Music,"Swift, G. W.; Yunik, M.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.046/1
1982,A Multiply Touch-Sensitive Clavier for Computer Music Systems,"Moog, Robert A.",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.047/1
1982,Computer Music Language Aids Interaction between Composer and Choreographer,"Marc, Josef",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.048/1
1982,PHANTASMAGORIA: A Chronicle of Computer-Assisted Composition/Performance,"Austin, Larry",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.049/1
1982,The Aesthetic Integration of Computer-Composed Scores,"Koenig, Gottfried Michael",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.050/1
1982,Stochastic Generation of Note Parameters for Music Composition,"Hiller, Lejaren",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.051/1
1982,Composing within Sound (An Introduction),"Branchi, Walter",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.052/1
1982,Surface Control of Computer Music,"Dydo, J. Stephen",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.053/1
1982,ALGOMUSIC: An Algorithm for the Genesis of Musical Structures,"Belfiore, Alfonso",https://quod.lib.umich.edu/i/icmc/bbp2372.1982.054/1
